Number,Title,GivenName,MiddleInitial,Surname,MothersMaiden,Birthday,Gender,Age,BloodType,Kilograms,FeetInches
4733,Mr.,Derrick,D,Clark,Hanson,10/12/2011,male,5,A+,15.6,"3' 4"""
4734,Mr.,Carlos,B,Dawson,Plank,1/11/1998,male,18,O-,58.3,"6' 2"""
4735,Mr.,Robert,K,Lee,Hardison,1/23/2003,male,13,A+,49.8,"5' 4"""
4736,Mr.,Derrick,A,Andrews,Goley,8/11/1997,male,19,A+,94.4,"6' 0"""
4737,Mr.,Charles,K,Deming,Puckett,12/28/1996,male,19,O+,80.5,"5' 5"""
4738,Mr.,Raymond,R,Wheeler,Whitley,1/6/2013,male,3,A+,17.5,"3' 5"""
4739,Mr.,Stanley,L,Corkery,Ulloa,3/26/1994,male,22,B+,91.8,"6' 0"""
4740,Mr.,Michael,M,Conway,Kroll,2/3/2010,male,6,O+,23.0,"3' 7"""
4741,Dr.,Albert,D,Levesque,Buentello,7/8/2011,male,5,A-,21.9,"3' 10"""
4742,Dr.,Gary,R,Short,Blankenship,3/21/1994,male,22,O-,73.4,"5' 6"""
4743,Mr.,Jimmy,L,Graham,Dixon,6/10/2010,male,6,O+,24.0,"3' 7"""
4744,Mr.,Willard,S,Roseman,Obrien,6/7/2005,male,11,O+,51.5,"4' 10"""
4745,Mr.,Alfred,D,Pryor,Soltero,7/11/1998,male,18,A-,73.6,"6' 2"""
4746,Mr.,Walter,E,Downs,Ritchie,5/16/2002,male,14,B+,51.7,"4' 11"""
4747,Mr.,Ronald,C,Nelson,Nelson,7/6/2005,male,11,B+,53.6,"4' 10"""
4748,Mr.,Francis,A,Stevens,Coleman,3/12/2010,male,6,A+,26.3,"3' 9"""
4749,Mr.,Corey,C,McKeever,Dickson,6/4/2014,male,2,A+,13.2,"2' 8"""
4750,Mr.,William,S,Piazza,Hall,11/16/2002,male,14,AB+,73.1,"5' 1"""
4751,Mr.,Willis,T,Williams,Gibson,9/8/1999,male,17,B+,93.2,"6' 2"""
4752,Mr.,Charles,R,Jacobs,Alexander,2/12/2005,male,11,A+,47.0,"4' 6"""
4753,Mr.,Anthony,A,Miller,Henry,3/12/2011,male,5,O+,18.8,"3' 3"""
4754,Mr.,Federico,F,Clark,Chamber,10/12/2000,male,16,O+,51.7,"6' 0"""
4755,Mr.,Randall,G,Cunningham,Showalter,5/25/2003,male,13,O+,55.2,"5' 3"""
4756,Mr.,Douglas,A,Winfield,Payne,1/15/1996,male,20,O+,63.0,"5' 11"""
4757,Mr.,Donnie,B,Harmon,Kapoor,2/18/1994,male,22,O+,105.0,"5' 10"""
4758,Mr.,Ahmad,L,James,Chin,7/6/1997,male,19,AB+,99.4,"5' 10"""
4759,Mr.,David,E,Enriquez,Case,4/11/1994,male,22,O+,91.2,"5' 10"""
4760,Mr.,Rosendo,M,Smith,Bleich,9/1/2013,male,3,B+,15.7,"2' 11"""
4761,Mr.,Joseph,P,Lane,Lindsey,2/10/1994,male,22,B+,76.2,"5' 7"""
4762,Mr.,Dallas,M,Ventura,Newton,9/24/1999,male,17,O+,75.8,"6' 1"""
4763,Mr.,Joe,K,Haley,Williams,11/12/1995,male,21,O+,81.8,"6' 0"""
4764,Mr.,Benjamin,M,Simpson,Dunham,12/23/2011,male,4,A+,20.7,"3' 3"""
4765,Mr.,William,J,Gonsalves,Walters,1/1/2003,male,13,A-,46.4,"4' 8"""
4766,Mr.,Lorenzo,L,Schuman,Kerr,4/8/2000,male,16,B-,74.3,"6' 1"""
4767,Mr.,Michael,S,Ferrante,Armwood,6/11/1997,male,19,B+,63.5,"5' 7"""
4768,Mr.,Steven,T,Sherman,Backes,12/27/2001,male,14,B+,55.4,"5' 7"""
4769,Mr.,Vincent,S,Fairbank,Papenfuss,4/19/2008,male,8,O+,25.7,"3' 10"""
4770,Mr.,Stanley,R,Gilbert,Singley,2/25/1997,male,19,O+,97.3,"5' 7"""
4771,Mr.,Howard,V,Ibanez,Mendez,12/2/1996,male,19,O+,94.5,"5' 5"""
4772,Mr.,Rodney,N,Mengel,Kuhn,9/7/2010,male,6,A+,17.7,"3' 10"""
4773,Mr.,Samuel,L,Miller,Fogg,8/28/2004,male,12,O+,37.9,"4' 10"""
4774,Mr.,Jason,R,Muldowney,Simonson,2/8/2012,male,4,A-,20.7,"3' 3"""
4775,Mr.,Alejandro,M,Bolanos,Santiago,10/6/2013,male,3,B+,15.5,"3' 3"""
4776,Mr.,Stephen,K,Hester,Hartin,3/28/2005,male,11,A+,43.8,"4' 4"""
4777,Mr.,Kyle,D,Saunders,Miller,11/17/2014,male,2,O+,11.8,"2' 8"""
4778,Mr.,Michael,G,Boston,Medina,1/2/2004,male,12,B+,46.1,"4' 6"""
4779,Mr.,Christopher,J,Brink,Maddox,5/25/1997,male,19,O+,81.0,"5' 7"""
4780,Mr.,Robert,P,Sparling,Hamilton,8/6/2006,male,10,A+,43.0,"4' 11"""
4781,Mr.,James,J,Richardson,Jenkinson,4/10/2009,male,7,O+,22.2,"4' 2"""
4782,Mr.,Curtis,L,Ponce,Potter,12/27/2001,male,14,B+,55.3,"5' 10"""
4783,Mr.,Johnny,D,Norton,Pennington,11/25/2010,male,5,O+,16.6,"3' 10"""
4784,Dr.,Curtis,R,Dixon,Retana,9/7/2010,male,6,O+,22.1,"4' 1"""
4785,Mr.,Peter,P,Nichols,Calkins,6/26/1997,male,19,A+,84.1,"6' 3"""
4786,Mr.,Harold,M,Lacey,Moore,6/8/2012,male,4,AB+,21.8,"3' 5"""
4787,Mr.,Ted,J,Garrett,Lara,5/3/2011,male,5,B+,18.3,"3' 4"""
4788,Mr.,Paul,S,Smith,Sweetman,5/5/2005,male,11,A+,29.8,"4' 4"""
4789,Mr.,William,M,Woods,Stine,8/2/2011,male,5,O-,16.3,"3' 6"""
4790,Mr.,Ronald,A,Delaney,Plummer,5/14/1998,male,18,A+,54.4,"5' 11"""
4791,Mr.,Nick,M,Vasquez,Williams,6/7/2003,male,13,A+,66.1,"5' 1"""
4792,Mr.,Ramon,S,Shelley,Ellis,8/11/1994,male,22,O+,61.6,"5' 11"""
4793,Mr.,Jeffery,J,Watts,Woodard,2/3/2009,male,7,B+,18.3,"4' 0"""
4794,Mr.,Patrick,B,Taylor,Clarke,3/22/2009,male,7,O+,31.0,"4' 2"""
4795,Mr.,John,M,Weiss,Ford,8/31/2000,male,16,A-,47.7,"5' 5"""
4796,Mr.,Jaime,V,Suazo,Tubbs,4/23/2005,male,11,O-,47.2,"4' 7"""
4797,Mr.,Curt,C,Walters,Buckner,3/10/1997,male,19,O+,90.1,"6' 0"""
4798,Mr.,Gregory,L,Cruz,Martinez,6/13/1998,male,18,AB+,83.5,"5' 5"""
4799,Mr.,Robert,A,Gomez,Poffenberger,8/2/2001,male,15,O+,52.1,"5' 2"""
4800,Mr.,Scott,M,Griffith,Hart,9/21/1994,male,22,B+,72.8,"5' 10"""
4801,Mr.,John,M,Smith,Herbert,4/12/2003,male,13,O+,52.8,"5' 5"""
4802,Mr.,Tony,E,Brown,Dale,3/2/1995,male,21,O-,63.0,"5' 9"""
4803,Mr.,Oscar,S,Castro,Hogue,8/21/2014,male,2,A+,15.5,"2' 9"""
4804,Mr.,Shawn,T,Applewhite,Burnette,9/28/2005,male,11,A+,32.3,"4' 4"""
4805,Mr.,Darnell,A,Bailey,Walker,7/21/2004,male,12,O+,51.9,"4' 11"""
4806,Mr.,Royce,S,Cantor,Baggett,5/4/2001,male,15,A+,73.0,"5' 4"""
4807,Mr.,Anderson,B,Lawhorn,Miller,10/16/2013,male,3,O+,13.0,"3' 3"""
4808,Mr.,Bob,E,Johnson,Teets,5/19/2004,male,12,O+,52.1,"4' 10"""
4809,Mr.,Bobby,S,Sanders,Fisher,4/25/2011,male,5,O-,21.6,"3' 6"""
4810,Mr.,Marco,E,McNeill,Irwin,11/15/2008,male,8,A+,26.2,"4' 5"""
4811,Mr.,William,L,Cox,Levi,4/15/2001,male,15,O+,83.3,"5' 11"""
4812,Mr.,Robert,M,Ellis,Gonzalez,7/25/2011,male,5,O+,22.2,"3' 8"""
4813,Mr.,Matthew,E,Garzon,Wages,11/11/2014,male,2,O+,11.8,"2' 7"""
4814,Mr.,Edward,C,Rule,Curry,4/16/2013,male,3,A+,11.8,"2' 11"""
4815,Mr.,Herman,M,Michael,Dickman,12/6/2011,male,4,B+,18.3,"3' 7"""
4816,Mr.,Joseph,E,Haney,White,8/16/2000,male,16,O+,67.8,"5' 7"""
4817,Mr.,Jonathan,J,Jackson,Hendrick,10/17/1995,male,21,B+,105.4,"6' 1"""
4818,Mr.,Johnny,S,Broussard,Foley,10/22/2009,male,7,O+,19.2,"4' 1"""
4819,Mr.,Victor,G,Poche,Cooper,3/8/2004,male,12,O-,57.1,"4' 6"""
4820,Mr.,Jason,L,Barnum,Arias,12/26/2004,male,11,A+,34.6,"4' 6"""
4821,Mr.,John,R,Pierce,Hubbell,3/3/2004,male,12,A+,44.4,"5' 3"""
4822,Mr.,Robert,M,Wright,Saenz,10/11/2004,male,12,O+,48.0,"4' 11"""
4823,Mr.,Claude,M,Muhammad,Dunlap,5/28/1999,male,17,B+,85.7,"5' 7"""
4824,Mr.,Andre,N,Okelley,Madigan,12/8/1997,male,18,A-,83.9,"5' 4"""
4825,Mr.,John,C,Parker,Brown,8/13/1997,male,19,A+,92.7,"5' 7"""
4826,Mr.,Henry,K,McNeal,Patterson,9/6/1995,male,21,O+,104.1,"5' 9"""
4827,Mr.,Gary,L,Tenney,Thomas,7/11/2011,male,5,O+,14.8,"3' 8"""
4828,Mr.,Kevin,M,Cardwell,Adams,8/24/2000,male,16,O+,72.8,"5' 7"""
4829,Mr.,Charles,J,Richardson,Cromwell,1/31/1995,male,21,A+,83.4,"6' 1"""
4830,Mr.,Charlie,D,Kay,Yount,5/11/2004,male,12,A+,54.3,"4' 9"""
4831,Dr.,Larry,M,Khang,Rivera,5/21/2013,male,3,B+,13.7,"3' 1"""
4832,Mr.,Christopher,V,Harrison,Hoyle,12/25/2010,male,5,AB+,16.1,"3' 8"""
4833,Mr.,Gordon,A,Spence,Ertel,8/19/1995,male,21,A+,88.4,"6' 1"""
4834,Mr.,Joseph,A,Rosenberg,Sims,12/9/2004,male,11,B+,51.6,"4' 8"""
4835,Mr.,Samuel,J,Julian,Thompson,7/5/2002,male,14,O+,47.7,"5' 9"""
4836,Mr.,Wilbur,D,Haywood,Pickett,12/20/2001,male,14,A+,58.1,"4' 11"""
4837,Dr.,Michael,M,Lee,Bybee,6/11/2008,male,8,O+,37.4,"3' 10"""
4838,Mr.,Kenneth,D,Davison,Hefner,1/8/2013,male,3,A+,19.0,"3' 2"""
4839,Mr.,Harold,C,Silva,McCoy,4/14/2002,male,14,A+,47.4,"5' 10"""
4840,Mr.,Kenneth,S,Feemster,Cossey,8/24/2013,male,3,A+,13.1,"3' 4"""
4841,Mr.,Christopher,N,Corley,Trussell,8/13/2012,male,4,O+,17.4,"3' 1"""
4842,Mr.,James,S,Holcomb,Bibby,12/31/2010,male,5,A-,19.4,"3' 7"""
4843,Mr.,David,M,Alarcon,Guerrero,5/25/2012,male,4,O+,19.9,"3' 1"""
4844,Mr.,Kim,A,Hafer,Bradford,9/17/2008,male,8,A+,28.4,"4' 0"""
4845,Mr.,Kyle,S,Lipson,Flores,2/7/2012,male,4,B+,17.3,"3' 5"""
4846,Mr.,Joseph,L,Mackenzie,Thornberry,10/23/2013,male,3,O+,14.1,"3' 4"""
4847,Mr.,James,M,Maher,Manley,2/2/1999,male,17,O+,82.1,"5' 9"""
4848,Dr.,Richard,D,Schmitz,Killough,11/6/1998,male,18,A+,58.7,"5' 9"""
4849,Mr.,Lance,D,Featherston,Dunmire,3/9/1998,male,18,O+,67.8,"5' 5"""
4850,Mr.,Domingo,C,Park,Smith,12/31/1993,male,22,O-,58.4,"5' 10"""
4851,Dr.,Danny,M,Stokes,Green,2/12/2000,male,16,O+,85.1,"5' 5"""
4852,Mr.,Franklin,D,Jackson,Fuller,11/3/2002,male,14,O+,37.1,"5' 4"""
4853,Mr.,Albert,A,Vergara,Raya,9/23/2010,male,6,A+,18.2,"3' 10"""
4854,Mr.,Richard,B,Shillings,Robinson,2/24/2008,male,8,B+,35.3,"4' 5"""
4855,Mr.,Dennis,A,Buck,Nolan,1/1/2002,male,14,A+,57.7,"5' 4"""
4856,Mr.,Robert,R,Kennedy,Moser,9/19/2003,male,13,B+,58.0,"5' 6"""
4857,Mr.,Tim,T,Flowers,Pate,9/2/2009,male,7,A+,28.4,"3' 10"""
4858,Mr.,Arthur,B,Harter,Robinson,7/8/1996,male,20,O+,81.1,"5' 7"""
4859,Mr.,Shane,C,Swain,Bilbrey,11/16/1994,male,22,A+,63.9,"5' 9"""
4860,Mr.,Stephen,C,Lenz,Castaneda,11/18/2004,male,12,B+,29.4,"4' 9"""
4861,Mr.,Tony,G,Klein,Bunce,7/4/2001,male,15,AB+,48.9,"5' 6"""
4862,Mr.,Donald,E,Murray,Stewart,7/18/2010,male,6,A+,23.8,"3' 6"""
4863,Mr.,William,C,Foote,Baltzell,2/5/1997,male,19,A+,81.9,"5' 4"""
4864,Mr.,Clifford,L,Sherrod,Wilson,8/26/2008,male,8,A+,27.5,"4' 6"""
4865,Mr.,Richard,M,Horne,Perez,11/10/2000,male,16,A+,81.9,"5' 8"""
4866,Mr.,Richard,J,Beck,Beck,3/24/1997,male,19,O+,92.7,"5' 7"""
4867,Mr.,Robert,M,Smith,Lewis,7/21/2006,male,10,O+,30.4,"4' 5"""
4868,Mr.,Joseph,E,Colon,Tafolla,7/14/2006,male,10,A+,47.4,"4' 11"""
4869,Mr.,Charles,B,Knowles,Bacon,7/1/2013,male,3,B+,15.0,"3' 1"""
4870,Mr.,Eddie,T,Correia,Totten,1/30/2000,male,16,A+,66.7,"5' 11"""
4871,Mr.,Stephen,K,Gomez,Williams,4/29/2009,male,7,A+,29.0,"4' 1"""
4872,Mr.,Philip,D,Todd,Hardin,5/17/2005,male,11,A+,40.6,"4' 11"""
4873,Mr.,Joseph,T,Taylor,Reyes,11/27/2004,male,11,B+,39.0,"4' 8"""
4874,Mr.,James,D,King,Giles,8/23/1994,male,22,O+,84.0,"6' 0"""
4875,Mr.,George,H,Hicks,Tam,10/20/1994,male,22,B+,66.0,"6' 3"""
4876,Mr.,Kelley,D,Stone,Sample,3/11/2008,male,8,B+,23.2,"3' 11"""
4877,Mr.,Ernesto,A,Moore,Clark,5/25/1999,male,17,O+,86.9,"5' 3"""
4878,Mr.,Timothy,B,Calkins,Henderson,3/5/2002,male,14,O+,63.3,"5' 3"""
4879,Mr.,Randall,M,Brandt,Lopez,1/3/2011,male,5,O+,15.9,"3' 7"""
4880,Mr.,Clarence,R,Fisher,Murphy,11/23/1995,male,20,B+,65.5,"5' 6"""
4881,Mr.,Kevin,V,Craig,Duffy,12/28/2002,male,13,A+,58.0,"5' 3"""
4882,Mr.,Kelly,C,Page,Graham,1/9/2005,male,11,A+,37.7,"5' 1"""
4883,Mr.,Dwayne,F,Wenger,Desmarais,7/3/2012,male,4,A+,19.7,"3' 3"""
4884,Mr.,Ira,S,Morris,Wannamaker,2/18/2011,male,5,B+,21.8,"3' 4"""
4885,Mr.,Leo,R,Allsop,Clarke,1/31/2009,male,7,O-,21.3,"4' 4"""
4886,Mr.,Robert,S,Adams,Schultz,9/7/1997,male,19,O+,79.6,"5' 8"""
4887,Mr.,Steven,N,Westmoreland,McGowan,2/23/1995,male,21,O+,88.7,"5' 8"""
4888,Mr.,Thomas,E,Allison,Prettyman,5/24/1999,male,17,O+,50.0,"5' 7"""
4889,Mr.,George,J,Probst,Trujillo,1/29/2008,male,8,B+,20.7,"4' 0"""
4890,Mr.,Robert,T,Stott,Ybanez,11/22/2012,male,3,A+,13.5,"3' 3"""
4891,Mr.,Rex,S,Berman,Devane,8/25/2013,male,3,O+,13.0,"3' 2"""
4892,Mr.,Brent,S,Anguiano,Tubbs,9/6/2002,male,14,A+,43.5,"5' 7"""
4893,Mr.,Nickolas,E,Barnes,Williams,12/25/2006,male,9,B+,24.9,"4' 4"""
4894,Mr.,Patrick,M,Pennington,Esquivel,11/15/2013,male,3,A+,12.4,"3' 3"""
4895,Mr.,Jeffrey,T,Cruz,Jarmon,11/15/2011,male,5,B+,23.0,"3' 9"""
4896,Mr.,Melvin,E,Baxter,Harrah,11/9/2012,male,4,B+,19.1,"3' 6"""
4897,Mr.,Bruce,D,Harris,Belcher,7/12/1996,male,20,B+,78.2,"6' 0"""
4898,Mr.,Stuart,A,Swoboda,Bryan,8/16/2011,male,5,A+,16.6,"3' 7"""
4899,Mr.,James,C,Smith,Boyd,4/19/2004,male,12,B+,52.8,"5' 0"""
4900,Mr.,Edward,D,Mayfield,Rockwell,8/15/2004,male,12,B+,50.2,"4' 7"""
4901,Mr.,Edward,L,Marshall,Lind,6/11/2000,male,16,B+,69.3,"5' 3"""
4902,Mr.,Gary,J,Thompson,Nally,2/14/2003,male,13,AB+,48.3,"5' 1"""
4903,Mr.,George,C,Lambert,White,5/29/2006,male,10,O+,34.4,"4' 10"""
4904,Mr.,Lawrence,C,Steinhoff,Smith,12/25/2002,male,13,B+,43.8,"4' 9"""
4905,Mr.,John,P,Gordon,Vang,1/17/2007,male,9,O+,32.1,"4' 8"""
4906,Mr.,William,M,Seeley,Cho,8/31/2014,male,2,A+,14.9,"2' 8"""
4907,Mr.,John,M,Cobb,Littlejohn,7/9/1994,male,22,A-,88.8,"5' 10"""
4908,Mr.,John,P,Hill,Gray,8/13/1996,male,20,O+,59.5,"5' 10"""
4909,Mr.,John,A,Money,Estes,10/22/2014,male,2,AB+,12.2,"2' 8"""
4910,Mr.,William,C,Sterling,Long,11/18/2002,male,14,O+,55.5,"5' 1"""
4911,Mr.,Edward,S,Jones,Walsh,10/28/2009,male,7,A+,18.2,"4' 0"""
4912,Mr.,Richard,H,Noll,Akridge,11/11/2012,male,4,O+,21.4,"3' 7"""
4913,Mr.,Joseph,K,Saenz,Todd,6/13/1999,male,17,O+,61.9,"5' 11"""
4914,Mr.,Blair,M,Robertson,Hildebrand,1/19/2004,male,12,O-,63.3,"4' 11"""
4915,Mr.,Scott,S,Diaz,McGriff,10/19/2000,male,16,B+,81.1,"5' 5"""
4916,Mr.,Gregory,E,Williams,Matthews,9/11/2014,male,2,A+,10.9,"3' 1"""
4917,Mr.,Christopher,G,Mullins,Cobb,6/4/2013,male,3,B+,17.0,"3' 0"""
4918,Mr.,Joseph,S,Davis,Bell,2/25/1999,male,17,A-,60.6,"5' 6"""
4919,Dr.,Joseph,K,Claxton,Gentner,8/7/2011,male,5,O+,20.1,"3' 10"""
4920,Mr.,Dewitt,J,Underwood,Williams,1/13/2012,male,4,A+,17.9,"3' 7"""
4921,Mr.,David,F,Barrett,Higgins,12/14/2002,male,13,B+,61.6,"4' 11"""
4922,Mr.,William,R,Tobey,McCauley,10/17/1994,male,22,O+,97.8,"5' 9"""
4923,Mr.,Roy,L,Karnes,Graham,8/13/1994,male,22,A+,63.2,"5' 9"""
4924,Mr.,Jason,S,Plant,Lemmons,5/19/2007,male,9,O+,25.2,"4' 3"""
4925,Mr.,Elton,M,Stout,Steven,10/9/2010,male,6,O-,26.6,"3' 7"""
4926,Mr.,John,B,Cullen,Davis,9/19/2014,male,2,O-,12.5,"3' 1"""
4927,Mr.,Robin,C,Hassell,Stephens,11/21/2001,male,14,O+,74.5,"5' 10"""
4928,Mr.,Lorenzo,T,William,Davis,12/16/2013,male,2,AB+,13.7,"2' 9"""
4929,Mr.,Kevin,N,Smith,Gillespie,7/31/1998,male,18,A+,91.5,"6' 0"""
4930,Mr.,Jeff,E,Harrison,Bunker,10/9/2013,male,3,O+,18.5,"3' 3"""
4931,Mr.,Devin,E,Crum,Medina,4/1/1997,male,19,A+,81.4,"5' 10"""
4932,Mr.,Sergio,S,Pacheco,Bryant,2/18/1996,male,20,AB+,54.1,"5' 10"""
4933,Mr.,Terry,P,Hutchins,Nevin,5/22/2013,male,3,B+,14.9,"2' 11"""
4934,Mr.,William,B,Harris,Lucas,11/3/2014,male,2,AB+,13.7,"2' 9"""
4935,Mr.,Aubrey,B,Quinn,Albrecht,10/29/1997,male,19,O+,67.5,"6' 2"""
4936,Mr.,John,J,Marino,Fleming,7/13/2002,male,14,B+,61.4,"5' 4"""
4937,Mr.,Mike,K,Washington,Nguyen,5/19/1997,male,19,A+,69.9,"6' 0"""
4938,Dr.,Alan,E,Herbert,Booker,9/20/1995,male,21,A+,96.3,"5' 10"""
4939,Mr.,Kenneth,T,Ward,Schmidt,4/5/2011,male,5,B+,23.4,"3' 8"""
4940,Mr.,Peter,P,Tate,Potter,11/2/2011,male,5,A+,15.5,"3' 8"""
4941,Mr.,Alexander,L,Munson,Harris,4/15/1998,male,18,O+,76.4,"5' 10"""
4942,Mr.,Jimmy,B,Dejesus,Moyer,10/17/2009,male,7,O+,21.8,"3' 8"""
4943,Mr.,Benny,C,Douglas,Walker,11/25/2005,male,10,O+,33.6,"4' 8"""
4944,Mr.,James,B,Patrick,Michel,2/7/2014,male,2,A+,12.3,"2' 8"""
4945,Mr.,Timothy,D,Chun,Sinclair,2/27/1994,male,22,B+,75.3,"6' 3"""
4946,Mr.,William,K,High,Halcomb,7/3/2013,male,3,O+,14.1,"3' 1"""
4947,Mr.,Bobby,C,Crain,Winkler,7/21/2001,male,15,O-,60.8,"5' 9"""
4948,Mr.,David,K,Willard,Sanchez,10/6/1997,male,19,B+,61.0,"6' 2"""
4949,Mr.,George,K,James,Ziebarth,1/27/1999,male,17,O+,68.6,"5' 11"""
4950,Mr.,Michael,L,Garza,Grier,9/22/1998,male,18,O+,70.8,"5' 9"""
4951,Mr.,Roger,W,Austin,Fisher,3/10/1995,male,21,A+,62.9,"5' 11"""
4952,Dr.,Juan,M,Guerrero,Harrison,12/6/2007,male,8,B+,25.8,"4' 1"""
4953,Mr.,Thomas,C,Everly,Tate,2/18/2014,male,2,O-,12.6,"2' 7"""
4954,Mr.,Patrick,E,Wood,Means,7/5/2010,male,6,B+,17.3,"4' 0"""
4955,Mr.,Paul,S,Fischer,Castle,3/18/2006,male,10,B+,45.3,"5' 0"""
4956,Mr.,Harold,M,Hill,Elmore,10/24/1994,male,22,A+,58.4,"5' 6"""
4957,Mr.,Curtis,E,Case,Winebrenner,4/27/1999,male,17,A+,58.2,"5' 11"""
4958,Mr.,John,W,Dawson,Davis,1/16/1998,male,18,O+,81.7,"5' 9"""
4959,Mr.,Michael,C,Lahr,Bush,10/20/1995,male,21,O-,80.2,"6' 3"""
4960,Mr.,Scott,K,Ortiz,Bowen,1/16/1995,male,21,A+,64.4,"5' 11"""
4961,Mr.,Joseph,R,Ezell,McKee,2/20/2003,male,13,O-,68.7,"5' 1"""
4962,Mr.,Lloyd,D,Lee,Warren,3/31/2012,male,4,O+,14.6,"3' 4"""
4963,Mr.,Orlando,H,Willis,Scribner,8/12/2006,male,10,O-,35.3,"4' 11"""
4964,Mr.,William,N,Washington,Penn,10/26/2007,male,9,B+,32.9,"4' 4"""
4965,Mr.,Eduardo,R,Cathcart,Martinez,7/6/2001,male,15,A+,60.3,"5' 5"""
4966,Mr.,Gary,C,Crane,Pfaff,11/26/2012,male,3,A+,17.9,"3' 1"""
4967,Mr.,Richard,W,Bumgarner,Youngberg,5/29/1997,male,19,A+,60.5,"5' 10"""
4968,Mr.,David,C,Brock,Johnson,3/30/2011,male,5,A+,16.7,"3' 3"""
4969,Mr.,Andrew,M,Rojas,Jordan,3/17/2002,male,14,O+,51.7,"5' 9"""
4970,Mr.,Brian,D,Dietrick,Rowe,5/16/2005,male,11,AB+,40.4,"4' 4"""
4971,Mr.,Raymond,D,Edmondson,Casey,8/3/2004,male,12,O+,36.9,"4' 7"""
4972,Mr.,Mark,A,Jones,Powell,2/21/2013,male,3,A+,13.1,"2' 11"""
4973,Mr.,William,J,Haddix,Patrick,8/11/2000,male,16,A+,79.0,"5' 10"""
4974,Mr.,Jack,M,Salazar,Barrios,9/15/1999,male,17,O+,84.4,"6' 2"""
4975,Mr.,Jonathan,P,Abraham,Broome,11/19/1994,male,22,O+,71.8,"5' 8"""
4976,Mr.,Simon,N,Jenkins,Lang,10/25/2011,male,5,B+,23.7,"3' 4"""
4977,Mr.,Ralph,E,Kish,Brickey,3/10/2002,male,14,AB+,37.4,"5' 0"""
4978,Mr.,Brett,G,Kimber,Peterson,10/10/2010,male,6,B+,18.4,"3' 8"""
4979,Mr.,William,S,McCaughey,Hanson,12/31/2004,male,11,B+,51.3,"4' 7"""
4980,Mr.,Ernest,K,Duffy,Godfrey,3/22/2003,male,13,O-,40.5,"5' 2"""
4981,Mr.,Todd,M,Rogers,Barth,12/16/2000,male,15,O+,57.0,"5' 2"""
4982,Mr.,David,C,Cruz,Davis,9/28/2007,male,9,A-,29.6,"4' 2"""
4983,Mr.,Marvin,J,Post,Settle,4/4/1997,male,19,A+,74.8,"5' 10"""
4984,Mr.,Donald,M,Clark,Starbuck,6/9/2011,male,5,O+,18.4,"3' 5"""
4985,Mr.,Enrique,K,Mahar,Billups,11/19/2003,male,13,B+,48.0,"5' 7"""
4986,Mr.,Jeffrey,E,Campbell,Mendoza,3/24/2002,male,14,O+,68.0,"5' 4"""
4987,Mr.,Lewis,W,Curtis,Ross,4/6/2002,male,14,O+,76.7,"5' 2"""
4988,Mr.,Daniel,F,Keene,Flood,1/23/2000,male,16,B+,76.8,"5' 8"""
4989,Mr.,Joseph,A,Hoover,Beaudoin,12/2/1997,male,18,O+,70.8,"5' 9"""
4990,Mr.,Ross,A,Anderson,Olson,3/3/2004,male,12,O+,64.0,"5' 4"""
4991,Mr.,Charles,I,Wilson,Powell,7/19/2003,male,13,A+,57.6,"4' 9"""
4992,Mr.,Ricardo,M,Maldonado,Novak,12/20/2004,male,11,B+,49.6,"5' 0"""
4993,Mr.,John,L,Slayden,Brown,5/7/2000,male,16,O+,53.3,"6' 1"""
4994,Mr.,Richard,P,Edwards,Fritts,2/6/2004,male,12,O+,59.6,"5' 3"""
4995,Mr.,Jerry,A,Burke,Yang,9/5/1999,male,17,A+,62.9,"5' 4"""
4996,Mr.,Jason,P,Keith,Duffy,8/28/2008,male,8,O-,20.1,"4' 4"""
4997,Mr.,Roger,J,Marshall,Hall,2/13/1994,male,22,O+,81.7,"6' 0"""
4998,Mr.,Anthony,K,Doyle,Foster,1/23/1999,male,17,O+,65.3,"5' 4"""
4999,Mr.,John,L,White,Pennington,9/23/2003,male,13,A+,66.0,"5' 7"""
5000,Mr.,Roy,D,Stewart,Lundy,1/5/1994,male,22,AB+,104.2,"5' 10"""
5001,Mr.,James,K,Langhorne,Stam,6/21/2007,male,9,O+,30.4,"4' 1"""
5002,Mr.,James,L,Cruz,Correa,3/18/2008,male,8,O+,27.9,"3' 10"""
5003,Mr.,Kevin,A,Fox,Emmons,10/9/1996,male,20,B+,64.8,"6' 3"""
5004,Mr.,Sydney,T,Demarest,Castro,9/10/2013,male,3,O-,11.9,"3' 1"""
5005,Mr.,Bruce,T,Lee,Campo,10/1/2004,male,12,A+,45.7,"4' 10"""
5006,Mr.,Barry,J,Nix,Malloy,11/29/1993,male,22,B-,89.6,"6' 2"""
5007,Mr.,Doyle,A,Ridder,Thomas,10/22/1995,male,21,B+,106.1,"5' 7"""
5008,Mr.,Leo,S,Maner,Lindsey,8/4/2003,male,13,B+,36.6,"5' 7"""
5009,Mr.,Joe,M,Washington,McGray,6/30/2008,male,8,B+,35.2,"4' 6"""
5010,Mr.,Ralph,K,Thomson,Davis,11/23/2012,male,3,B+,17.1,"2' 11"""
5011,Mr.,Thomas,P,Baggett,Wood,1/2/2011,male,5,A+,16.9,"3' 4"""
